_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,185,23,Suppressed,4.47,9.43,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,2767,144,Suppressed,66.88,59.02,Suppressed,Adams
3,c,18001,Unknown,1185,77,Suppressed,28.64,31.56,Suppressed,Adams
4,c,18003,Hispanic or Latino,2496,494,6,4.07,8.28,3.0,Allen
5,c,18003,Not Hispanic or Latino,32634,3045,112,53.25,51.05,56.0,Allen
6,c,18003,Unknown,26156,2426,82,42.68,40.67,41.0,Allen
7,c,18005,Hispanic or Latino,411,88,0,2.53,7.66,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,5092,366,16,31.34,31.85,28.07,Bartholomew
9,c,18005,Unknown,10743,695,41,66.13,60.49,71.93,Bartholomew
10,c,18007,Hispanic or Latino,149,38,Suppressed,8.78,43.18,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,1055,38,Suppressed,62.17,43.18,Suppressed,Benton
12,c,18007,Unknown,493,12,Suppressed,29.05,13.64,Suppressed,Benton
13,c,18009,Hispanic or Latino,17,4,Suppressed,0.89,3.54,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,1417,71,Suppressed,74.27,62.83,Suppressed,Blackford
15,c,18009,Unknown,474,38,Suppressed,24.84,33.63,Suppressed,Blackford
16,c,18011,Hispanic or Latino,142,18,0,1.07,1.91,0.0,Boone
17,c,18011,Not Hispanic or Latino,5205,334,16,39.21,35.38,34.78,Boone
18,c,18011,Unknown,7927,592,30,59.72,62.71,65.22,Boone
19,c,18013,Hispanic or Latino,25,1,Suppressed,1.33,0.99,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1261,58,Suppressed,66.93,57.43,Suppressed,Brown
21,c,18013,Unknown,598,42,Suppressed,31.74,41.58,Suppressed,Brown
22,c,18015,Hispanic or Latino,104,31,0,3.11,11.48,0.0,Carroll
23,c,18015,Not Hispanic or Latino,1984,128,5,59.42,47.41,38.46,Carroll
24,c,18015,Unknown,1251,111,8,37.47,41.11,61.54,Carroll
25,c,18017,Hispanic or Latino,1558,959,Suppressed,16.52,49.66,Suppressed,Cass
26,c,18017,Not Hispanic or Latino,3459,521,Suppressed,36.68,26.98,Suppressed,Cass
27,c,18017,Unknown,4412,451,Suppressed,46.79,23.36,Suppressed,Cass
28,c,18019,Hispanic or Latino,887,197,2,4.08,9.31,3.57,Clark
29,c,18019,Not Hispanic or Latino,10093,1048,36,46.48,49.5,64.29,Clark
30,c,18019,Unknown,10736,872,18,49.44,41.19,32.14,Clark
31,c,18021,Hispanic or Latino,17,0,Suppressed,0.38,0.0,Suppressed,Clay
32,c,18021,Not Hispanic or Latino,1675,136,Suppressed,37.09,46.58,Suppressed,Clay
33,c,18021,Unknown,2824,156,Suppressed,62.53,53.42,Suppressed,Clay
34,c,18023,Hispanic or Latino,1258,204,0,15.39,34.52,0.0,Clinton
35,c,18023,Not Hispanic or Latino,5098,294,12,62.35,49.75,100.0,Clinton
36,c,18023,Unknown,1820,93,0,22.26,15.74,0.0,Clinton
37,c,18025,Hispanic or Latino,13,2,Suppressed,0.77,1.94,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,1043,69,Suppressed,61.43,66.99,Suppressed,Crawford
39,c,18025,Unknown,642,32,Suppressed,37.81,31.07,Suppressed,Crawford
40,c,18027,Hispanic or Latino,60,18,0,1.17,2.81,0.0,Daviess
41,c,18027,Not Hispanic or Latino,1051,184,11,20.58,28.71,40.74,Daviess
42,c,18027,Unknown,3997,439,16,78.25,68.49,59.26,Daviess
43,c,18029,Hispanic or Latino,77,4,0,0.88,0.64,0.0,Dearborn
44,c,18029,Not Hispanic or Latino,4129,343,20,47.3,54.79,71.43,Dearborn
45,c,18029,Unknown,4524,279,8,51.82,44.57,28.57,Dearborn
46,c,18031,Hispanic or Latino,49,5,0,1.0,1.1,0.0,Decatur
47,c,18031,Not Hispanic or Latino,3275,283,23,67.0,62.47,58.97,Decatur
48,c,18031,Unknown,1564,165,16,32.0,36.42,41.03,Decatur
49,c,18033,Hispanic or Latino,142,17,0,2.51,3.78,0.0,De Kalb
50,c,18033,Not Hispanic or Latino,4297,317,6,75.88,70.44,54.55,De Kalb
51,c,18033,Unknown,1224,116,5,21.61,25.78,45.45,De Kalb
52,c,18035,Hispanic or Latino,242,30,0,1.16,1.6,0.0,Delaware
53,c,18035,Not Hispanic or Latino,12846,994,45,61.42,53.16,73.77,Delaware
54,c,18035,Unknown,7828,846,16,37.43,45.24,26.23,Delaware
55,c,18037,Hispanic or Latino,832,260,3,10.23,27.4,16.67,Dubois
56,c,18037,Not Hispanic or Latino,4513,512,4,55.49,53.95,22.22,Dubois
57,c,18037,Unknown,2788,177,11,34.28,18.65,61.11,Dubois
58,c,18039,Hispanic or Latino,3991,1225,9,8.15,19.24,8.26,Elkhart
59,c,18039,Not Hispanic or Latino,12683,1373,41,25.91,21.56,37.61,Elkhart
60,c,18039,Unknown,32270,3770,59,65.93,59.2,54.13,Elkhart
61,c,18041,Hispanic or Latino,18,2,0,0.4,0.48,0.0,Fayette
62,c,18041,Not Hispanic or Latino,2145,234,5,47.68,55.98,38.46,Fayette
63,c,18041,Unknown,2336,182,8,51.92,43.54,61.54,Fayette
64,c,18043,Hispanic or Latino,229,49,0,1.62,3.76,0.0,Floyd
65,c,18043,Not Hispanic or Latino,6197,616,38,43.88,47.28,62.3,Floyd
66,c,18043,Unknown,7695,638,23,54.49,48.96,37.7,Floyd
67,c,18045,Hispanic or Latino,25,2,Suppressed,0.94,1.74,Suppressed,Fountain
68,c,18045,Not Hispanic or Latino,1277,55,Suppressed,48.15,47.83,Suppressed,Fountain
69,c,18045,Unknown,1350,58,Suppressed,50.9,50.43,Suppressed,Fountain
70,c,18047,Hispanic or Latino,7,2,1,0.29,0.67,4.0,Franklin
71,c,18047,Not Hispanic or Latino,1241,167,10,52.3,56.23,40.0,Franklin
