_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,138,16,Suppressed,4.27,8.51,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,2235,108,Suppressed,69.22,57.45,Suppressed,Adams
3,c,18001,Unknown,856,64,Suppressed,26.51,34.04,Suppressed,Adams
4,c,18003,Hispanic or Latino,1988,417,6,3.97,8.38,3.37,Allen
5,c,18003,Not Hispanic or Latino,25371,2464,101,50.68,49.49,56.74,Allen
6,c,18003,Unknown,22704,2098,71,45.35,42.14,39.89,Allen
7,c,18005,Hispanic or Latino,349,82,0,2.51,7.72,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,4323,333,15,31.1,31.36,27.78,Bartholomew
9,c,18005,Unknown,9229,647,39,66.39,60.92,72.22,Bartholomew
10,c,18007,Hispanic or Latino,140,38,Suppressed,10.44,47.5,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,856,31,Suppressed,63.83,38.75,Suppressed,Benton
12,c,18007,Unknown,345,11,Suppressed,25.73,13.75,Suppressed,Benton
13,c,18009,Hispanic or Latino,11,1,Suppressed,0.71,1.35,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,1166,45,Suppressed,75.08,60.81,Suppressed,Blackford
15,c,18009,Unknown,376,28,Suppressed,24.21,37.84,Suppressed,Blackford
16,c,18011,Hispanic or Latino,126,17,0,1.13,2.02,0.0,Boone
17,c,18011,Not Hispanic or Latino,4530,286,16,40.76,33.93,34.78,Boone
18,c,18011,Unknown,6457,540,30,58.1,64.06,65.22,Boone
19,c,18013,Hispanic or Latino,23,1,Suppressed,1.39,1.12,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1125,51,Suppressed,68.22,57.3,Suppressed,Brown
21,c,18013,Unknown,501,37,Suppressed,30.38,41.57,Suppressed,Brown
22,c,18015,Hispanic or Latino,100,31,0,3.42,12.16,0.0,Carroll
23,c,18015,Not Hispanic or Latino,1755,116,5,60.1,45.49,38.46,Carroll
24,c,18015,Unknown,1065,108,8,36.47,42.35,61.54,Carroll
25,c,18017,Hispanic or Latino,1452,950,Suppressed,17.61,50.75,Suppressed,Cass
26,c,18017,Not Hispanic or Latino,2920,496,Suppressed,35.42,26.5,Suppressed,Cass
27,c,18017,Unknown,3872,426,Suppressed,46.97,22.76,Suppressed,Cass
28,c,18019,Hispanic or Latino,774,184,2,4.19,10.47,3.92,Clark
29,c,18019,Not Hispanic or Latino,8703,866,35,47.08,49.26,68.63,Clark
30,c,18019,Unknown,9008,708,14,48.73,40.27,27.45,Clark
31,c,18021,Hispanic or Latino,14,0,Suppressed,0.37,0.0,Suppressed,Clay
32,c,18021,Not Hispanic or Latino,1378,108,Suppressed,36.71,47.16,Suppressed,Clay
33,c,18021,Unknown,2362,121,Suppressed,62.92,52.84,Suppressed,Clay
34,c,18023,Hispanic or Latino,1122,194,Suppressed,15.79,35.21,Suppressed,Clinton
35,c,18023,Not Hispanic or Latino,4453,271,Suppressed,62.67,49.18,Suppressed,Clinton
36,c,18023,Unknown,1530,86,Suppressed,21.53,15.61,Suppressed,Clinton
37,c,18025,Hispanic or Latino,12,2,Suppressed,0.86,3.12,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,897,41,Suppressed,64.3,64.06,Suppressed,Crawford
39,c,18025,Unknown,486,21,Suppressed,34.84,32.81,Suppressed,Crawford
40,c,18027,Hispanic or Latino,57,18,0,1.34,3.64,0.0,Daviess
41,c,18027,Not Hispanic or Latino,911,141,9,21.43,28.48,39.13,Daviess
