_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,249,45,0,3.72,4.86,0.0,Adams
2,c,18001,Not Hispanic or Latino,4658,670,9,69.68,72.35,81.82,Adams
3,c,18001,Unknown,1778,211,2,26.6,22.79,18.18,Adams
4,c,18003,Hispanic or Latino,4101,950,10,4.47,8.3,4.0,Allen
5,c,18003,Not Hispanic or Latino,53813,6791,147,58.68,59.36,58.8,Allen
6,c,18003,Unknown,33786,3700,93,36.84,32.34,37.2,Allen
7,c,18005,Hispanic or Latino,683,166,0,3.11,8.93,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,7323,642,17,33.39,34.55,28.33,Bartholomew
9,c,18005,Unknown,13927,1050,43,63.5,56.51,71.67,Bartholomew
10,c,18007,Hispanic or Latino,169,47,Suppressed,7.25,30.92,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,1541,83,Suppressed,66.14,54.61,Suppressed,Benton
12,c,18007,Unknown,620,22,Suppressed,26.61,14.47,Suppressed,Benton
13,c,18009,Hispanic or Latino,30,10,Suppressed,0.97,3.11,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,2359,243,Suppressed,76.37,75.47,Suppressed,Blackford
15,c,18009,Unknown,700,69,Suppressed,22.66,21.43,Suppressed,Blackford
16,c,18011,Hispanic or Latino,213,26,0,1.19,1.59,0.0,Boone
17,c,18011,Not Hispanic or Latino,7341,626,20,41.08,38.31,39.22,Boone
18,c,18011,Unknown,10318,982,31,57.73,60.1,60.78,Boone
19,c,18013,Hispanic or Latino,31,1,Suppressed,1.22,0.54,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1758,121,Suppressed,69.38,65.05,Suppressed,Brown
21,c,18013,Unknown,745,64,Suppressed,29.4,34.41,Suppressed,Brown
22,c,18015,Hispanic or Latino,128,40,0,2.9,8.53,0.0,Carroll
23,c,18015,Not Hispanic or Latino,2674,254,5,60.59,54.16,38.46,Carroll
24,c,18015,Unknown,1611,175,8,36.51,37.31,61.54,Carroll
25,c,18017,Hispanic or Latino,1686,986,3,14.04,38.46,11.54,Cass
26,c,18017,Not Hispanic or Latino,4777,795,6,39.79,31.01,23.08,Cass
27,c,18017,Unknown,5543,783,17,46.17,30.54,65.38,Cass
28,c,18019,Hispanic or Latino,1250,295,2,4.02,8.0,2.94,Clark
29,c,18019,Not Hispanic or Latino,14740,1882,43,47.4,51.02,63.24,Clark
30,c,18019,Unknown,15109,1512,23,48.58,40.99,33.82,Clark
31,c,18021,Hispanic or Latino,22,1,0,0.37,0.15,0.0,Clay
32,c,18021,Not Hispanic or Latino,2278,294,3,38.62,44.41,16.67,Clay
33,c,18021,Unknown,3599,367,15,61.01,55.44,83.33,Clay
34,c,18023,Hispanic or Latino,1704,361,0,15.23,28.67,0.0,Clinton
35,c,18023,Not Hispanic or Latino,7186,713,17,64.25,56.63,100.0,Clinton
36,c,18023,Unknown,2295,185,0,20.52,14.69,0.0,Clinton
37,c,18025,Hispanic or Latino,17,3,Suppressed,0.72,1.52,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,1428,120,Suppressed,60.74,60.91,Suppressed,Crawford
39,c,18025,Unknown,906,74,Suppressed,38.54,37.56,Suppressed,Crawford
40,c,18027,Hispanic or Latino,70,23,0,1.02,2.06,0.0,Daviess
41,c,18027,Not Hispanic or Latino,1349,258,13,19.58,23.14,35.14,Daviess
42,c,18027,Unknown,5470,834,24,79.4,74.8,64.86,Daviess
43,c,18029,Hispanic or Latino,95,10,0,0.8,0.74,0.0,Dearborn
44,c,18029,Not Hispanic or Latino,5749,743,20,48.51,55.12,71.43,Dearborn
45,c,18029,Unknown,6006,595,8,50.68,44.14,28.57,Dearborn
46,c,18031,Hispanic or Latino,60,7,0,0.95,0.88,0.0,Decatur
47,c,18031,Not Hispanic or Latino,4331,548,23,68.62,68.59,58.97,Decatur
48,c,18031,Unknown,1921,244,16,30.43,30.54,41.03,Decatur
49,c,18033,Hispanic or Latino,195,31,0,2.28,2.83,0.0,De Kalb
50,c,18033,Not Hispanic or Latino,6714,878,9,78.43,80.11,64.29,De Kalb
51,c,18033,Unknown,1652,187,5,19.3,17.06,35.71,De Kalb
52,c,18035,Hispanic or Latino,377,47,0,1.27,1.26,0.0,Delaware
53,c,18035,Not Hispanic or Latino,18629,2225,65,62.76,59.67,71.43,Delaware
54,c,18035,Unknown,10679,1457,26,35.97,39.07,28.57,Delaware
55,c,18037,Hispanic or Latino,929,296,3,8.76,16.02,10.34,Dubois
56,c,18037,Not Hispanic or Latino,5937,1233,10,55.97,66.72,34.48,Dubois
57,c,18037,Unknown,3742,319,16,35.28,17.26,55.17,Dubois
58,c,18039,Hispanic or Latino,6026,2194,15,8.95,18.08,8.88,Elkhart
59,c,18039,Not Hispanic or Latino,18696,3355,68,27.76,27.65,40.24,Elkhart
60,c,18039,Unknown,42633,6584,86,63.3,54.27,50.89,Elkhart
61,c,18041,Hispanic or Latino,27,5,0,0.41,0.45,0.0,Fayette
62,c,18041,Not Hispanic or Latino,3362,691,13,50.7,62.82,50.0,Fayette
63,c,18041,Unknown,3242,404,13,48.89,36.73,50.0,Fayette
64,c,18043,Hispanic or Latino,354,66,0,1.76,2.91,0.0,Floyd
65,c,18043,Not Hispanic or Latino,9651,1132,42,47.93,49.89,58.33,Floyd
66,c,18043,Unknown,10132,1071,30,50.32,47.2,41.67,Floyd
67,c,18045,Hispanic or Latino,49,6,Suppressed,1.22,1.27,Suppressed,Fountain
68,c,18045,Not Hispanic or Latino,2100,253,Suppressed,52.42,53.6,Suppressed,Fountain
69,c,18045,Unknown,1857,213,Suppressed,46.36,45.13,Suppressed,Fountain
70,c,18047,Hispanic or Latino,10,2,1,0.31,0.44,4.0,Franklin
71,c,18047,Not Hispanic or Latino,1790,275,10,54.86,59.91,40.0,Franklin
72,c,18047,Unknown,1463,182,14,44.84,39.65,56.0,Franklin
73,c,18049,Hispanic or Latino,158,35,0,3.25,6.72,0.0,Fulton
74,c,18049,Not Hispanic or Latino,2564,318,10,52.7,61.04,76.92,Fulton
75,c,18049,Unknown,2143,168,3,44.05,32.25,23.08,Fulton
76,c,18051,Hispanic or Latino,81,11,0,1.09,0.91,0.0,Gibson
77,c,18051,Not Hispanic or Latino,2688,234,4,36.25,19.45,30.77,Gibson
78,c,18051,Unknown,4646,958,9,62.66,79.63,69.23,Gibson
79,c,18053,Hispanic or Latino,476,69,0,2.88,4.08,0.0,Grant
80,c,18053,Not Hispanic or Latino,9292,1098,23,56.29,64.93,52.27,Grant
81,c,18053,Unknown,6738,524,21,40.82,30.99,47.73,Grant
82,c,18055,Hispanic or Latino,61,13,0,0.83,1.81,0.0,Greene
83,c,18055,Not Hispanic or Latino,4477,442,38,60.57,61.47,82.61,Greene
84,c,18055,Unknown,2854,264,8,38.61,36.72,17.39,Greene
85,c,18057,Hispanic or Latino,1598,230,3,1.64,2.73,2.21,Hamilton
86,c,18057,Not Hispanic or Latino,36218,3697,80,37.21,43.92,58.82,Hamilton
87,c,18057,Unknown,59509,4491,53,61.14,53.35,38.97,Hamilton
88,c,18059,Hispanic or Latino,160,28,0,0.75,1.74,0.0,Hancock
89,c,18059,Not Hispanic or Latino,7314,690,22,34.47,42.78,48.89,Hancock
