_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,152,19,Suppressed,4.16,9.05,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,2479,121,Suppressed,67.88,57.62,Suppressed,Adams
3,c,18001,Unknown,1021,70,Suppressed,27.96,33.33,Suppressed,Adams
4,c,18003,Hispanic or Latino,2237,440,6,4.03,8.05,3.21,Allen
5,c,18003,Not Hispanic or Latino,29313,2757,105,52.87,50.47,56.15,Allen
6,c,18003,Unknown,23893,2266,76,43.09,41.48,40.64,Allen
7,c,18005,Hispanic or Latino,376,83,0,2.52,7.56,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,4733,353,15,31.75,32.15,26.79,Bartholomew
9,c,18005,Unknown,9799,662,41,65.73,60.29,73.21,Bartholomew
10,c,18007,Hispanic or Latino,143,38,Suppressed,9.89,44.71,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,936,35,Suppressed,64.73,41.18,Suppressed,Benton
12,c,18007,Unknown,367,12,Suppressed,25.38,14.12,Suppressed,Benton
13,c,18009,Hispanic or Latino,14,3,Suppressed,0.82,3.37,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,1279,55,Suppressed,75.01,61.8,Suppressed,Blackford
15,c,18009,Unknown,412,31,Suppressed,24.16,34.83,Suppressed,Blackford
16,c,18011,Hispanic or Latino,132,18,0,1.11,2.0,0.0,Boone
17,c,18011,Not Hispanic or Latino,4922,321,16,41.49,35.63,34.78,Boone
18,c,18011,Unknown,6809,562,30,57.4,62.38,65.22,Boone
19,c,18013,Hispanic or Latino,23,1,Suppressed,1.32,1.1,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1189,52,Suppressed,68.06,57.14,Suppressed,Brown
21,c,18013,Unknown,535,38,Suppressed,30.62,41.76,Suppressed,Brown
22,c,18015,Hispanic or Latino,102,31,0,3.29,11.79,0.0,Carroll
23,c,18015,Not Hispanic or Latino,1881,122,5,60.72,46.39,38.46,Carroll
24,c,18015,Unknown,1115,110,8,35.99,41.83,61.54,Carroll
25,c,18017,Hispanic or Latino,1489,958,Suppressed,16.87,50.45,Suppressed,Cass
26,c,18017,Not Hispanic or Latino,3204,506,Suppressed,36.3,26.65,Suppressed,Cass
27,c,18017,Unknown,4134,435,Suppressed,46.83,22.91,Suppressed,Cass
28,c,18019,Hispanic or Latino,842,194,2,4.24,10.09,3.77,Clark
