_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,212,35,Suppressed,4.1,8.64,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,3552,269,Suppressed,68.61,66.42,Suppressed,Adams
3,c,18001,Unknown,1413,101,Suppressed,27.29,24.94,Suppressed,Adams
4,c,18003,Hispanic or Latino,3090,646,7,4.23,8.83,3.29,Allen
5,c,18003,Not Hispanic or Latino,40513,3858,122,55.41,52.7,57.28,Allen
6,c,18003,Unknown,29508,2816,84,40.36,38.47,39.44,Allen
7,c,18005,Hispanic or Latino,533,114,0,2.88,8.69,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,5855,418,16,31.66,31.86,28.07,Bartholomew
9,c,18005,Unknown,12107,780,41,65.46,59.45,71.93,Bartholomew
10,c,18007,Hispanic or Latino,156,42,Suppressed,8.02,44.21,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,1241,41,Suppressed,63.84,43.16,Suppressed,Benton
12,c,18007,Unknown,547,12,Suppressed,28.14,12.63,Suppressed,Benton
13,c,18009,Hispanic or Latino,23,8,Suppressed,0.98,4.73,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,1767,110,Suppressed,75.51,65.09,Suppressed,Blackford
15,c,18009,Unknown,550,51,Suppressed,23.5,30.18,Suppressed,Blackford
16,c,18011,Hispanic or Latino,171,18,0,1.13,1.59,0.0,Boone
17,c,18011,Not Hispanic or Latino,6073,414,18,40.07,36.6,37.5,Boone
18,c,18011,Unknown,8913,699,30,58.8,61.8,62.5,Boone
19,c,18013,Hispanic or Latino,26,1,Suppressed,1.23,0.81,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1419,73,Suppressed,67.19,59.35,Suppressed,Brown
21,c,18013,Unknown,667,49,Suppressed,31.58,39.84,Suppressed,Brown
22,c,18015,Hispanic or Latino,113,31,0,3.02,10.33,0.0,Carroll
23,c,18015,Not Hispanic or Latino,2225,145,5,59.46,48.33,38.46,Carroll
24,c,18015,Unknown,1404,124,8,37.52,41.33,61.54,Carroll
25,c,18017,Hispanic or Latino,1616,963,3,15.5,44.73,18.75,Cass
26,c,18017,Not Hispanic or Latino,3936,582,4,37.74,27.03,25.0,Cass
27,c,18017,Unknown,4877,608,9,46.76,28.24,56.25,Cass
28,c,18019,Hispanic or Latino,1061,244,2,4.13,9.24,3.51,Clark
29,c,18019,Not Hispanic or Latino,12034,1295,36,46.83,49.03,63.16,Clark
30,c,18019,Unknown,12601,1102,19,49.04,41.73,33.33,Clark
31,c,18021,Hispanic or Latino,19,0,Suppressed,0.37,0.0,Suppressed,Clay
32,c,18021,Not Hispanic or Latino,1887,178,Suppressed,37.16,46.23,Suppressed,Clay
33,c,18021,Unknown,3172,207,Suppressed,62.47,53.77,Suppressed,Clay
34,c,18023,Hispanic or Latino,1403,231,0,15.07,30.64,0.0,Clinton
35,c,18023,Not Hispanic or Latino,5839,391,14,62.71,51.86,100.0,Clinton
36,c,18023,Unknown,2069,132,0,22.22,17.51,0.0,Clinton
37,c,18025,Hispanic or Latino,13,2,Suppressed,0.66,1.5,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,1208,89,Suppressed,61.51,66.92,Suppressed,Crawford
39,c,18025,Unknown,743,42,Suppressed,37.83,31.58,Suppressed,Crawford
40,c,18027,Hispanic or Latino,62,18,0,1.07,2.35,0.0,Daviess
41,c,18027,Not Hispanic or Latino,1164,209,13,20.02,27.25,41.94,Daviess
42,c,18027,Unknown,4588,540,18,78.91,70.4,58.06,Daviess
43,c,18029,Hispanic or Latino,80,5,0,0.81,0.62,0.0,Dearborn
44,c,18029,Not Hispanic or Latino,4640,451,20,47.03,55.54,71.43,Dearborn
45,c,18029,Unknown,5145,356,8,52.15,43.84,28.57,Dearborn
46,c,18031,Hispanic or Latino,53,6,0,1.01,1.24,0.0,Decatur
47,c,18031,Not Hispanic or Latino,3488,296,23,66.4,61.28,58.97,Decatur
48,c,18031,Unknown,1712,181,16,32.59,37.47,41.03,Decatur
49,c,18033,Hispanic or Latino,157,20,0,2.35,3.22,0.0,De Kalb
50,c,18033,Not Hispanic or Latino,5153,459,6,77.05,73.91,54.55,De Kalb
51,c,18033,Unknown,1378,142,5,20.6,22.87,45.45,De Kalb
52,c,18035,Hispanic or Latino,303,36,0,1.24,1.42,0.0,Delaware
53,c,18035,Not Hispanic or Latino,15148,1431,54,62.22,56.41,75.0,Delaware
54,c,18035,Unknown,8896,1070,18,36.54,42.18,25.0,Delaware
55,c,18037,Hispanic or Latino,881,273,3,9.56,22.21,14.29,Dubois
56,c,18037,Not Hispanic or Latino,5051,713,5,54.79,58.01,23.81,Dubois
57,c,18037,Unknown,3287,243,13,35.65,19.77,61.9,Dubois
58,c,18039,Hispanic or Latino,4789,1526,11,8.61,19.63,8.73,Elkhart
59,c,18039,Not Hispanic or Latino,14693,1837,49,26.42,23.63,38.89,Elkhart
60,c,18039,Unknown,36134,4410,66,64.97,56.73,52.38,Elkhart
61,c,18041,Hispanic or Latino,19,2,0,0.37,0.39,0.0,Fayette
62,c,18041,Not Hispanic or Latino,2402,299,5,46.81,57.72,35.71,Fayette
63,c,18041,Unknown,2710,217,9,52.82,41.89,64.29,Fayette
64,c,18043,Hispanic or Latino,288,54,0,1.72,3.31,0.0,Floyd
65,c,18043,Not Hispanic or Latino,7712,783,39,46.07,48.01,60.0,Floyd
66,c,18043,Unknown,8739,794,26,52.21,48.68,40.0,Floyd
67,c,18045,Hispanic or Latino,37,3,Suppressed,1.16,1.31,Suppressed,Fountain
68,c,18045,Not Hispanic or Latino,1614,124,Suppressed,50.58,54.15,Suppressed,Fountain
69,c,18045,Unknown,1540,102,Suppressed,48.26,44.54,Suppressed,Fountain
70,c,18047,Hispanic or Latino,7,2,1,0.26,0.6,4.0,Franklin
71,c,18047,Not Hispanic or Latino,1458,190,10,53.15,56.72,40.0,Franklin
72,c,18047,Unknown,1278,143,14,46.59,42.69,56.0,Franklin
73,c,18049,Hispanic or Latino,136,32,Suppressed,3.5,10.85,Suppressed,Fulton
74,c,18049,Not Hispanic or Latino,1818,150,Suppressed,46.77,50.85,Suppressed,Fulton
75,c,18049,Unknown,1933,113,Suppressed,49.73,38.31,Suppressed,Fulton
76,c,18051,Hispanic or Latino,77,9,Suppressed,1.23,1.18,Suppressed,Gibson
77,c,18051,Not Hispanic or Latino,2468,180,Suppressed,39.27,23.59,Suppressed,Gibson
78,c,18051,Unknown,3740,574,Suppressed,59.51,75.23,Suppressed,Gibson
79,c,18053,Hispanic or Latino,391,43,0,2.78,3.89,0.0,Grant
80,c,18053,Not Hispanic or Latino,7452,671,22,52.95,60.72,57.89,Grant
81,c,18053,Unknown,6230,391,16,44.27,35.38,42.11,Grant
82,c,18055,Hispanic or Latino,44,5,0,0.69,1.05,0.0,Greene
83,c,18055,Not Hispanic or Latino,3858,301,29,60.61,63.5,80.56,Greene
84,c,18055,Unknown,2463,168,7,38.7,35.44,19.44,Greene
85,c,18057,Hispanic or Latino,1282,154,1,1.56,2.75,0.89,Hamilton
86,c,18057,Not Hispanic or Latino,28810,2109,67,35.09,37.64,59.82,Hamilton
87,c,18057,Unknown,52000,3340,44,63.34,59.61,39.29,Hamilton
88,c,18059,Hispanic or Latino,120,20,0,0.67,1.86,0.0,Hancock
89,c,18059,Not Hispanic or Latino,5752,402,22,32.09,37.43,50.0,Hancock
90,c,18059,Unknown,12052,652,22,67.24,60.71,50.0,Hancock
91,c,18061,Hispanic or Latino,141,22,0,1.75,3.19,0.0,Harrison
92,c,18061,Not Hispanic or Latino,5488,448,19,68.02,65.02,79.17,Harrison
93,c,18061,Unknown,2439,219,5,30.23,31.79,20.83,Harrison
94,c,18063,Hispanic or Latino,573,88,0,1.73,2.93,0.0,Hendricks
95,c,18063,Not Hispanic or Latino,17184,1438,72,51.91,47.85,56.25,Hendricks
96,c,18063,Unknown,15347,1479,56,46.36,49.22,43.75,Hendricks
97,c,18065,Hispanic or Latino,75,24,0,0.74,2.24,0.0,Henry
98,c,18065,Not Hispanic or Latino,3956,427,17,38.92,39.83,62.96,Henry
99,c,18065,Unknown,6134,621,10,60.34,57.93,37.04,Henry
100,c,18067,Hispanic or Latino,420,41,0,2.29,2.72,0.0,Howard
101,c,18067,Not Hispanic or Latino,9356,749,18,51.1,49.7,27.27,Howard
102,c,18067,Unknown,8534,717,48,46.61,47.58,72.73,Howard
103,c,18069,Hispanic or Latino,117,15,Suppressed,1.59,4.32,Suppressed,Huntington
104,c,18069,Not Hispanic or Latino,5759,251,Suppressed,78.02,72.33,Suppressed,Huntington
105,c,18069,Unknown,1505,81,Suppressed,20.39,23.34,Suppressed,Huntington
106,c,18071,Hispanic or Latino,533,232,1,6.3,24.07,10.0,Jackson
107,c,18071,Not Hispanic or Latino,3554,443,6,41.99,45.95,60.0,Jackson
108,c,18071,Unknown,4377,289,3,51.71,29.98,30.0,Jackson
109,c,18073,Hispanic or Latino,195,33,Suppressed,2.92,6.99,Suppressed,Jasper
110,c,18073,Not Hispanic or Latino,3244,232,Suppressed,48.64,49.15,Suppressed,Jasper
111,c,18073,Unknown,3231,207,Suppressed,48.44,43.86,Suppressed,Jasper
112,c,18075,Hispanic or Latino,63,19,Suppressed,2.06,7.6,Suppressed,Jay
113,c,18075,Not Hispanic or Latino,2281,151,Suppressed,74.71,60.4,Suppressed,Jay
114,c,18075,Unknown,709,80,Suppressed,23.22,32.0,Suppressed,Jay
115,c,18077,Hispanic or Latino,92,3,Suppressed,1.48,0.96,Suppressed,Jefferson
116,c,18077,Not Hispanic or Latino,2608,175,Suppressed,41.94,55.73,Suppressed,Jefferson
117,c,18077,Unknown,3519,136,Suppressed,56.58,43.31,Suppressed,Jefferson
118,c,18079,Hispanic or Latino,55,13,0,1.31,3.77,0.0,Jennings
119,c,18079,Not Hispanic or Latino,1287,146,5,30.54,42.32,38.46,Jennings
120,c,18079,Unknown,2872,186,8,68.15,53.91,61.54,Jennings
121,c,18081,Hispanic or Latino,569,59,0,1.68,2.09,0.0,Johnson
122,c,18081,Not Hispanic or Latino,17587,1425,78,51.95,50.53,61.42,Johnson
123,c,18081,Unknown,15699,1336,49,46.37,47.38,38.58,Johnson
124,c,18083,Hispanic or Latino,44,13,0,0.72,2.11,0.0,Knox
125,c,18083,Not Hispanic or Latino,1663,302,7,27.04,49.11,70.0,Knox
126,c,18083,Unknown,4444,300,3,72.25,48.78,30.0,Knox
127,c,18085,Hispanic or Latino,667,146,1,4.41,9.45,5.26,Kosciusko
128,c,18085,Not Hispanic or Latino,6747,642,8,44.61,41.55,42.11,Kosciusko
129,c,18085,Unknown,7710,757,10,50.98,49.0,52.63,Kosciusko
130,c,18087,Hispanic or Latino,142,30,2,3.56,4.09,14.29,Lagrange
131,c,18087,Not Hispanic or Latino,2357,414,11,59.04,56.4,78.57,Lagrange
132,c,18087,Unknown,1493,290,1,37.4,39.51,7.14,Lagrange
133,c,18089,Hispanic or Latino,8974,1737,21,8.32,14.25,6.18,Lake
134,c,18089,Not Hispanic or Latino,30402,3253,116,28.18,26.69,34.12,Lake
135,c,18089,Unknown,68493,7199,203,63.5,59.06,59.71,Lake
136,c,18091,Hispanic or Latino,1107,154,3,4.45,7.99,6.0,La Porte
137,c,18091,Not Hispanic or Latino,15276,1070,21,61.45,55.5,42.0,La Porte
138,c,18091,Unknown,8478,704,26,34.1,36.51,52.0,La Porte
139,c,18093,Hispanic or Latino,57,3,0,0.74,0.45,0.0,Lawrence
140,c,18093,Not Hispanic or Latino,5284,431,26,68.61,64.81,83.87,Lawrence
141,c,18093,Unknown,2360,231,5,30.65,34.74,16.13,Lawrence
142,c,18095,Hispanic or Latino,429,57,4,1.82,2.74,4.76,Madison
143,c,18095,Not Hispanic or Latino,9429,1003,48,40.05,48.13,57.14,Madison
144,c,18095,Unknown,13688,1024,32,58.13,49.14,38.1,Madison
145,c,18097,Hispanic or Latino,8197,2124,17,3.6,9.0,2.2,Marion
146,c,18097,Not Hispanic or Latino,81537,7360,396,35.82,31.17,51.16,Marion
147,c,18097,Unknown,137920,14127,361,60.58,59.83,46.64,Marion
148,c,18099,Hispanic or Latino,765,169,0,6.03,13.88,0.0,Marshall
149,c,18099,Not Hispanic or Latino,4262,279,3,33.6,22.91,11.54,Marshall
150,c,18099,Unknown,7659,770,23,60.37,63.22,88.46,Marshall
151,c,18101,Hispanic or Latino,6,0,Suppressed,0.34,0.0,Suppressed,Martin
152,c,18101,Not Hispanic or Latino,926,117,Suppressed,51.88,63.24,Suppressed,Martin
153,c,18101,Unknown,853,68,Suppressed,47.79,36.76,Suppressed,Martin
154,c,18103,Hispanic or Latino,135,28,Suppressed,1.75,5.47,Suppressed,Miami
155,c,18103,Not Hispanic or Latino,4069,246,Suppressed,52.89,48.05,Suppressed,Miami
156,c,18103,Unknown,3490,238,Suppressed,45.36,46.48,Suppressed,Miami
157,c,18105,Hispanic or Latino,1307,122,1,2.65,3.98,2.63,Monroe
158,c,18105,Not Hispanic or Latino,24797,1430,21,50.31,46.63,55.26,Monroe
159,c,18105,Unknown,23185,1515,16,47.04,49.4,42.11,Monroe
