_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,217,36,Suppressed,4.01,7.91,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,3709,307,Suppressed,68.47,67.47,Suppressed,Adams
3,c,18001,Unknown,1491,112,Suppressed,27.52,24.62,Suppressed,Adams
4,c,18003,Hispanic or Latino,3252,690,9,4.28,8.9,4.07,Allen
5,c,18003,Not Hispanic or Latino,42503,4131,127,55.94,53.26,57.47,Allen
6,c,18003,Unknown,30224,2935,85,39.78,37.84,38.46,Allen
7,c,18005,Hispanic or Latino,552,126,0,2.91,9.16,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,6034,444,16,31.76,32.29,28.07,Bartholomew
9,c,18005,Unknown,12414,805,41,65.34,58.55,71.93,Bartholomew
10,c,18007,Hispanic or Latino,157,44,Suppressed,7.89,41.51,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,1275,50,Suppressed,64.07,47.17,Suppressed,Benton
12,c,18007,Unknown,558,12,Suppressed,28.04,11.32,Suppressed,Benton
13,c,18009,Hispanic or Latino,24,8,Suppressed,0.97,4.35,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,1878,125,Suppressed,76.16,67.93,Suppressed,Blackford
15,c,18009,Unknown,564,51,Suppressed,22.87,27.72,Suppressed,Blackford
16,c,18011,Hispanic or Latino,176,18,0,1.13,1.53,0.0,Boone
17,c,18011,Not Hispanic or Latino,6240,428,18,40.16,36.36,37.5,Boone
18,c,18011,Unknown,9122,731,30,58.71,62.11,62.5,Boone
19,c,18013,Hispanic or Latino,28,1,Suppressed,1.29,0.78,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1462,76,Suppressed,67.5,59.38,Suppressed,Brown
21,c,18013,Unknown,676,51,Suppressed,31.21,39.84,Suppressed,Brown
22,c,18015,Hispanic or Latino,113,31,0,2.95,10.16,0.0,Carroll
23,c,18015,Not Hispanic or Latino,2277,148,5,59.5,48.52,38.46,Carroll
24,c,18015,Unknown,1437,126,8,37.55,41.31,61.54,Carroll
