_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,92,13,Suppressed,4.2,11.11,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,1597,59,Suppressed,72.96,50.43,Suppressed,Adams
3,c,18001,Unknown,500,45,Suppressed,22.84,38.46,Suppressed,Adams
4,c,18003,Hispanic or Latino,1505,356,6,3.65,8.81,3.68,Allen
5,c,18003,Not Hispanic or Latino,19319,1875,90,46.87,46.41,55.21,Allen
6,c,18003,Unknown,20390,1809,67,49.47,44.78,41.1,Allen
7,c,18005,Hispanic or Latino,237,66,0,2.14,8.04,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,3039,249,14,27.45,30.33,29.79,Bartholomew
9,c,18005,Unknown,7797,506,33,70.41,61.63,70.21,Bartholomew
10,c,18007,Hispanic or Latino,63,33,Suppressed,6.27,51.56,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,670,22,Suppressed,66.73,34.38,Suppressed,Benton
12,c,18007,Unknown,271,9,Suppressed,26.99,14.06,Suppressed,Benton
13,c,18009,Hispanic or Latino,9,1,Suppressed,0.68,1.52,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,999,40,Suppressed,75.23,60.61,Suppressed,Blackford
15,c,18009,Unknown,320,25,Suppressed,24.1,37.88,Suppressed,Blackford
16,c,18011,Hispanic or Latino,98,16,0,1.08,2.3,0.0,Boone
17,c,18011,Not Hispanic or Latino,3501,219,16,38.74,31.42,34.78,Boone
18,c,18011,Unknown,5438,462,30,60.17,66.28,65.22,Boone
19,c,18013,Hispanic or Latino,21,0,Suppressed,1.43,0.0,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1013,45,Suppressed,68.86,60.0,Suppressed,Brown
21,c,18013,Unknown,437,30,Suppressed,29.71,40.0,Suppressed,Brown
22,c,18015,Hispanic or Latino,85,28,Suppressed,3.52,14.0,Suppressed,Carroll
23,c,18015,Not Hispanic or Latino,1406,84,Suppressed,58.27,42.0,Suppressed,Carroll
24,c,18015,Unknown,922,88,Suppressed,38.21,44.0,Suppressed,Carroll
25,c,18017,Hispanic or Latino,1407,941,Suppressed,19.5,52.1,Suppressed,Cass
26,c,18017,Not Hispanic or Latino,2410,462,Suppressed,33.39,25.58,Suppressed,Cass
27,c,18017,Unknown,3400,403,Suppressed,47.11,22.31,Suppressed,Cass
28,c,18019,Hispanic or Latino,561,118,2,3.89,9.03,4.0,Clark
29,c,18019,Not Hispanic or Latino,6759,645,34,46.91,49.35,68.0,Clark
30,c,18019,Unknown,7089,544,14,49.2,41.62,28.0,Clark
31,c,18021,Hispanic or Latino,9,0,Suppressed,0.33,0.0,Suppressed,Clay
32,c,18021,Not Hispanic or Latino,968,65,Suppressed,35.93,49.62,Suppressed,Clay
33,c,18021,Unknown,1717,66,Suppressed,63.73,50.38,Suppressed,Clay
34,c,18023,Hispanic or Latino,978,181,Suppressed,17.01,40.22,Suppressed,Clinton
35,c,18023,Not Hispanic or Latino,3469,194,Suppressed,60.32,43.11,Suppressed,Clinton
36,c,18023,Unknown,1304,75,Suppressed,22.67,16.67,Suppressed,Clinton
37,c,18025,Hispanic or Latino,6,0,Suppressed,0.61,0.0,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,601,28,Suppressed,61.2,62.22,Suppressed,Crawford
39,c,18025,Unknown,375,17,Suppressed,38.19,37.78,Suppressed,Crawford
40,c,18027,Hispanic or Latino,47,15,0,1.5,5.38,0.0,Daviess
41,c,18027,Not Hispanic or Latino,646,73,8,20.58,26.16,40.0,Daviess
42,c,18027,Unknown,2446,191,12,77.92,68.46,60.0,Daviess
43,c,18029,Hispanic or Latino,47,3,0,0.74,0.58,0.0,Dearborn
44,c,18029,Not Hispanic or Latino,3226,284,20,50.51,55.04,71.43,Dearborn
45,c,18029,Unknown,3114,229,8,48.76,44.38,28.57,Dearborn
46,c,18031,Hispanic or Latino,30,5,0,0.87,1.46,0.0,Decatur
47,c,18031,Not Hispanic or Latino,2239,201,17,65.13,58.77,53.12,Decatur
48,c,18031,Unknown,1169,136,15,34.0,39.77,46.88,Decatur
49,c,18033,Hispanic or Latino,84,10,Suppressed,2.35,4.2,Suppressed,De Kalb
50,c,18033,Not Hispanic or Latino,2740,169,Suppressed,76.69,71.01,Suppressed,De Kalb
51,c,18033,Unknown,749,59,Suppressed,20.96,24.79,Suppressed,De Kalb
52,c,18035,Hispanic or Latino,115,6,0,0.88,0.79,0.0,Delaware
53,c,18035,Not Hispanic or Latino,8333,374,38,64.09,49.21,73.08,Delaware
54,c,18035,Unknown,4554,380,14,35.03,50.0,26.92,Delaware
55,c,18037,Hispanic or Latino,726,235,2,13.05,32.96,16.67,Dubois
56,c,18037,Not Hispanic or Latino,3658,356,4,65.76,49.93,33.33,Dubois
57,c,18037,Unknown,1179,122,6,21.19,17.11,50.0,Dubois
58,c,18039,Hispanic or Latino,2735,868,8,7.28,17.52,9.3,Elkhart
59,c,18039,Not Hispanic or Latino,9078,994,33,24.18,20.06,38.37,Elkhart
60,c,18039,Unknown,25736,3093,45,68.54,62.42,52.33,Elkhart
61,c,18041,Hispanic or Latino,9,1,Suppressed,0.31,0.51,Suppressed,Fayette
62,c,18041,Not Hispanic or Latino,1312,99,Suppressed,44.76,50.77,Suppressed,Fayette
63,c,18041,Unknown,1610,95,Suppressed,54.93,48.72,Suppressed,Fayette
64,c,18043,Hispanic or Latino,120,33,0,1.25,4.01,0.0,Floyd
65,c,18043,Not Hispanic or Latino,3885,368,26,40.49,44.77,53.06,Floyd
66,c,18043,Unknown,5591,421,23,58.26,51.22,46.94,Floyd
67,c,18045,Hispanic or Latino,15,2,Suppressed,0.87,2.63,Suppressed,Fountain
68,c,18045,Not Hispanic or Latino,800,31,Suppressed,46.57,40.79,Suppressed,Fountain
69,c,18045,Unknown,903,43,Suppressed,52.56,56.58,Suppressed,Fountain
70,c,18047,Hispanic or Latino,4,2,1,0.25,0.81,6.67,Franklin
71,c,18047,Not Hispanic or Latino,840,140,5,51.98,56.68,33.33,Franklin
72,c,18047,Unknown,772,105,9,47.77,42.51,60.0,Franklin
73,c,18049,Hispanic or Latino,113,29,Suppressed,5.01,16.76,Suppressed,Fulton
74,c,18049,Not Hispanic or Latino,1071,78,Suppressed,47.47,45.09,Suppressed,Fulton
75,c,18049,Unknown,1072,66,Suppressed,47.52,38.15,Suppressed,Fulton
76,c,18051,Hispanic or Latino,40,6,Suppressed,1.12,2.58,Suppressed,Gibson
77,c,18051,Not Hispanic or Latino,1726,78,Suppressed,48.2,33.48,Suppressed,Gibson
