_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,226,37,Suppressed,3.91,6.61,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,3967,395,Suppressed,68.69,70.54,Suppressed,Adams
3,c,18001,Unknown,1582,128,Suppressed,27.39,22.86,Suppressed,Adams
4,c,18003,Hispanic or Latino,3516,778,9,4.36,9.0,3.9,Allen
5,c,18003,Not Hispanic or Latino,45748,4746,134,56.74,54.89,58.01,Allen
6,c,18003,Unknown,31357,3123,88,38.89,36.12,38.1,Allen
7,c,18005,Hispanic or Latino,609,146,0,3.05,9.87,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,6419,474,17,32.19,32.05,29.31,Bartholomew
9,c,18005,Unknown,12911,859,41,64.75,58.08,70.69,Bartholomew
10,c,18007,Hispanic or Latino,160,45,Suppressed,7.66,39.82,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,1353,55,Suppressed,64.74,48.67,Suppressed,Benton
12,c,18007,Unknown,577,13,Suppressed,27.61,11.5,Suppressed,Benton
13,c,18009,Hispanic or Latino,26,10,Suppressed,0.98,4.18,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,2009,170,Suppressed,75.87,71.13,Suppressed,Blackford
15,c,18009,Unknown,613,59,Suppressed,23.15,24.69,Suppressed,Blackford
16,c,18011,Hispanic or Latino,187,20,0,1.15,1.55,0.0,Boone
17,c,18011,Not Hispanic or Latino,6538,480,19,40.3,37.18,38.0,Boone
18,c,18011,Unknown,9499,791,31,58.55,61.27,62.0,Boone
19,c,18013,Hispanic or Latino,28,1,Suppressed,1.23,0.68,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1541,91,Suppressed,67.89,61.9,Suppressed,Brown
21,c,18013,Unknown,701,55,Suppressed,30.88,37.41,Suppressed,Brown
22,c,18015,Hispanic or Latino,116,32,0,2.91,9.33,0.0,Carroll
23,c,18015,Not Hispanic or Latino,2371,168,5,59.42,48.98,38.46,Carroll
24,c,18015,Unknown,1503,143,8,37.67,41.69,61.54,Carroll
25,c,18017,Hispanic or Latino,1641,968,3,14.76,42.14,12.5,Cass
26,c,18017,Not Hispanic or Latino,4277,661,5,38.47,28.78,20.83,Cass
27,c,18017,Unknown,5200,668,16,46.77,29.08,66.67,Cass
28,c,18019,Hispanic or Latino,1136,271,2,4.03,8.85,3.17,Clark
29,c,18019,Not Hispanic or Latino,13193,1510,39,46.79,49.31,61.9,Clark
30,c,18019,Unknown,13868,1281,22,49.18,41.84,34.92,Clark
31,c,18021,Hispanic or Latino,20,0,Suppressed,0.37,0.0,Suppressed,Clay
32,c,18021,Not Hispanic or Latino,2046,215,Suppressed,37.71,46.64,Suppressed,Clay
33,c,18021,Unknown,3359,246,Suppressed,61.92,53.36,Suppressed,Clay
34,c,18023,Hispanic or Latino,1507,275,0,15.03,29.76,0.0,Clinton
35,c,18023,Not Hispanic or Latino,6319,492,16,63.02,53.25,100.0,Clinton
36,c,18023,Unknown,2201,157,0,21.95,16.99,0.0,Clinton
37,c,18025,Hispanic or Latino,14,2,Suppressed,0.64,1.23,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,1341,104,Suppressed,61.54,63.8,Suppressed,Crawford
39,c,18025,Unknown,824,57,Suppressed,37.82,34.97,Suppressed,Crawford
40,c,18027,Hispanic or Latino,64,21,0,1.03,2.28,0.0,Daviess
41,c,18027,Not Hispanic or Latino,1234,234,13,19.78,25.35,38.24,Daviess
42,c,18027,Unknown,4940,668,21,79.19,72.37,61.76,Daviess
43,c,18029,Hispanic or Latino,85,7,0,0.79,0.68,0.0,Dearborn
44,c,18029,Not Hispanic or Latino,5136,571,20,47.82,55.38,71.43,Dearborn
45,c,18029,Unknown,5519,453,8,51.39,43.94,28.57,Dearborn
46,c,18031,Hispanic or Latino,56,7,0,0.98,1.33,0.0,Decatur
47,c,18031,Not Hispanic or Latino,3880,326,23,67.65,61.74,58.97,Decatur
48,c,18031,Unknown,1799,195,16,31.37,36.93,41.03,Decatur
49,c,18033,Hispanic or Latino,178,21,0,2.4,2.76,0.0,De Kalb
50,c,18033,Not Hispanic or Latino,5722,583,6,77.11,76.71,54.55,De Kalb
51,c,18033,Unknown,1521,156,5,20.5,20.53,45.45,De Kalb
52,c,18035,Hispanic or Latino,337,38,0,1.26,1.22,0.0,Delaware
53,c,18035,Not Hispanic or Latino,16782,1825,55,62.66,58.59,73.33,Delaware
54,c,18035,Unknown,9663,1252,20,36.08,40.19,26.67,Delaware
55,c,18037,Hispanic or Latino,898,280,3,9.17,19.13,11.54,Dubois
56,c,18037,Not Hispanic or Latino,5412,921,8,55.26,62.91,30.77,Dubois
57,c,18037,Unknown,3483,263,15,35.57,17.96,57.69,Dubois
58,c,18039,Hispanic or Latino,5327,1792,13,8.82,19.33,9.42,Elkhart
59,c,18039,Not Hispanic or Latino,16193,2311,53,26.81,24.93,38.41,Elkhart
60,c,18039,Unknown,38875,5168,72,64.37,55.74,52.17,Elkhart
61,c,18041,Hispanic or Latino,23,4,0,0.4,0.52,0.0,Fayette
62,c,18041,Not Hispanic or Latino,2786,459,9,48.63,59.84,47.37,Fayette
63,c,18041,Unknown,2920,304,10,50.97,39.63,52.63,Fayette
64,c,18043,Hispanic or Latino,311,56,0,1.69,2.99,0.0,Floyd
65,c,18043,Not Hispanic or Latino,8604,926,41,46.89,49.41,60.29,Floyd
66,c,18043,Unknown,9435,892,27,51.42,47.6,39.71,Floyd
67,c,18045,Hispanic or Latino,40,5,Suppressed,1.12,1.52,Suppressed,Fountain
68,c,18045,Not Hispanic or Latino,1823,180,Suppressed,51.27,54.71,Suppressed,Fountain
69,c,18045,Unknown,1693,144,Suppressed,47.61,43.77,Suppressed,Fountain
70,c,18047,Hispanic or Latino,9,2,1,0.3,0.52,4.0,Franklin
71,c,18047,Not Hispanic or Latino,1616,228,10,54.34,59.53,40.0,Franklin
72,c,18047,Unknown,1349,153,14,45.36,39.95,56.0,Franklin
73,c,18049,Hispanic or Latino,144,35,Suppressed,3.4,9.26,Suppressed,Fulton
74,c,18049,Not Hispanic or Latino,2049,208,Suppressed,48.43,55.03,Suppressed,Fulton
75,c,18049,Unknown,2038,135,Suppressed,48.17,35.71,Suppressed,Fulton
76,c,18051,Hispanic or Latino,80,11,0,1.18,1.17,0.0,Gibson
77,c,18051,Not Hispanic or Latino,2570,203,4,38.0,21.5,33.33,Gibson
78,c,18051,Unknown,4114,730,8,60.82,77.33,66.67,Gibson
79,c,18053,Hispanic or Latino,427,53,0,2.83,3.97,0.0,Grant
80,c,18053,Not Hispanic or Latino,8216,848,22,54.43,63.52,56.41,Grant
81,c,18053,Unknown,6451,434,17,42.74,32.51,43.59,Grant
82,c,18055,Hispanic or Latino,56,11,0,0.82,1.9,0.0,Greene
83,c,18055,Not Hispanic or Latino,4130,364,30,60.79,62.98,78.95,Greene
84,c,18055,Unknown,2608,203,8,38.39,35.12,21.05,Greene
85,c,18057,Hispanic or Latino,1396,175,2,1.58,2.73,1.74,Hamilton
86,c,18057,Not Hispanic or Latino,31299,2484,69,35.45,38.81,60.0,Hamilton
87,c,18057,Unknown,55605,3741,44,62.97,58.45,38.26,Hamilton
88,c,18059,Hispanic or Latino,138,26,0,0.71,2.09,0.0,Hancock
89,c,18059,Not Hispanic or Latino,6327,486,22,32.78,38.97,50.0,Hancock
90,c,18059,Unknown,12838,735,22,66.51,58.94,50.0,Hancock
91,c,18061,Hispanic or Latino,146,24,0,1.67,2.96,0.0,Harrison
92,c,18061,Not Hispanic or Latino,5969,546,19,68.28,67.41,79.17,Harrison
93,c,18061,Unknown,2627,240,5,30.05,29.63,20.83,Harrison
94,c,18063,Hispanic or Latino,610,96,0,1.72,2.81,0.0,Hendricks
