_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,242,42,0,3.75,5.27,0.0,Adams
2,c,18001,Not Hispanic or Latino,4477,575,8,69.44,72.15,80.0,Adams
3,c,18001,Unknown,1728,180,2,26.8,22.58,20.0,Adams
4,c,18003,Hispanic or Latino,3912,892,10,4.43,8.54,4.12,Allen
5,c,18003,Not Hispanic or Latino,51393,6051,143,58.23,57.95,58.85,Allen
6,c,18003,Unknown,32949,3499,90,37.33,33.51,37.04,Allen
7,c,18005,Hispanic or Latino,659,155,0,3.08,8.97,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,7108,598,17,33.21,34.61,28.81,Bartholomew
9,c,18005,Unknown,13635,975,42,63.71,56.42,71.19,Bartholomew
10,c,18007,Hispanic or Latino,166,47,Suppressed,7.43,35.61,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,1460,67,Suppressed,65.32,50.76,Suppressed,Benton
12,c,18007,Unknown,609,18,Suppressed,27.25,13.64,Suppressed,Benton
13,c,18009,Hispanic or Latino,29,10,Suppressed,0.97,3.29,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,2263,225,Suppressed,75.84,74.01,Suppressed,Blackford
15,c,18009,Unknown,692,69,Suppressed,23.19,22.7,Suppressed,Blackford
16,c,18011,Hispanic or Latino,209,25,0,1.2,1.63,0.0,Boone
17,c,18011,Not Hispanic or Latino,7104,579,20,40.8,37.74,39.22,Boone
18,c,18011,Unknown,10100,930,31,58.0,60.63,60.78,Boone
19,c,18013,Hispanic or Latino,31,1,Suppressed,1.27,0.58,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1677,113,Suppressed,68.84,65.7,Suppressed,Brown
21,c,18013,Unknown,728,58,Suppressed,29.89,33.72,Suppressed,Brown
22,c,18015,Hispanic or Latino,128,39,0,2.97,8.88,0.0,Carroll
23,c,18015,Not Hispanic or Latino,2600,229,5,60.35,52.16,38.46,Carroll
24,c,18015,Unknown,1580,171,8,36.68,38.95,61.54,Carroll
25,c,18017,Hispanic or Latino,1671,982,3,14.2,39.08,11.54,Cass
26,c,18017,Not Hispanic or Latino,4644,774,6,39.46,30.8,23.08,Cass
27,c,18017,Unknown,5455,757,17,46.35,30.12,65.38,Cass
28,c,18019,Hispanic or Latino,1206,287,2,3.98,8.23,2.99,Clark
29,c,18019,Not Hispanic or Latino,14278,1760,42,47.17,50.49,62.69,Clark
30,c,18019,Unknown,14784,1439,23,48.84,41.28,34.33,Clark
31,c,18021,Hispanic or Latino,21,1,0,0.36,0.17,0.0,Clay
32,c,18021,Not Hispanic or Latino,2231,268,3,38.54,44.44,18.75,Clay
33,c,18021,Unknown,3537,334,13,61.1,55.39,81.25,Clay
34,c,18023,Hispanic or Latino,1643,347,0,15.17,29.53,0.0,Clinton
35,c,18023,Not Hispanic or Latino,6951,649,17,64.18,55.23,100.0,Clinton
36,c,18023,Unknown,2236,179,0,20.65,15.23,0.0,Clinton
37,c,18025,Hispanic or Latino,17,3,Suppressed,0.73,1.56,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,1416,118,Suppressed,61.14,61.46,Suppressed,Crawford
39,c,18025,Unknown,883,71,Suppressed,38.13,36.98,Suppressed,Crawford
40,c,18027,Hispanic or Latino,69,23,0,1.03,2.16,0.0,Daviess
41,c,18027,Not Hispanic or Latino,1317,252,13,19.6,23.62,35.14,Daviess
42,c,18027,Unknown,5335,792,24,79.38,74.23,64.86,Daviess
43,c,18029,Hispanic or Latino,95,10,0,0.82,0.8,0.0,Dearborn
44,c,18029,Not Hispanic or Latino,5610,687,20,48.53,55.14,68.97,Dearborn
45,c,18029,Unknown,5854,549,9,50.64,44.06,31.03,Dearborn
46,c,18031,Hispanic or Latino,59,7,0,0.96,0.99,0.0,Decatur
47,c,18031,Not Hispanic or Latino,4207,474,23,68.43,67.33,58.97,Decatur
48,c,18031,Unknown,1882,223,16,30.61,31.68,41.03,Decatur
49,c,18033,Hispanic or Latino,193,28,0,2.33,2.74,0.0,De Kalb
50,c,18033,Not Hispanic or Latino,6454,819,9,78.08,80.06,64.29,De Kalb
