_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,230,40,Suppressed,3.86,6.14,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,4103,454,Suppressed,68.83,69.74,Suppressed,Adams
3,c,18001,Unknown,1628,157,Suppressed,27.31,24.12,Suppressed,Adams
4,c,18003,Hispanic or Latino,3683,820,9,4.41,8.84,3.83,Allen
5,c,18003,Not Hispanic or Latino,47793,5184,137,57.21,55.89,58.3,Allen
6,c,18003,Unknown,32069,3271,89,38.39,35.27,37.87,Allen
7,c,18005,Hispanic or Latino,636,151,0,3.1,9.72,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,6657,511,17,32.46,32.9,28.81,Bartholomew
9,c,18005,Unknown,13217,891,42,64.44,57.37,71.19,Bartholomew
10,c,18007,Hispanic or Latino,164,46,Suppressed,7.62,38.33,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,1395,57,Suppressed,64.85,47.5,Suppressed,Benton
12,c,18007,Unknown,592,17,Suppressed,27.52,14.17,Suppressed,Benton
13,c,18009,Hispanic or Latino,27,10,Suppressed,0.96,3.62,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,2162,201,Suppressed,76.5,72.83,Suppressed,Blackford
15,c,18009,Unknown,637,65,Suppressed,22.54,23.55,Suppressed,Blackford
16,c,18011,Hispanic or Latino,193,20,0,1.16,1.45,0.0,Boone
17,c,18011,Not Hispanic or Latino,6773,515,19,40.57,37.37,38.0,Boone
18,c,18011,Unknown,9727,843,31,58.27,61.18,62.0,Boone
19,c,18013,Hispanic or Latino,29,1,Suppressed,1.25,0.64,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1586,99,Suppressed,68.3,63.46,Suppressed,Brown
21,c,18013,Unknown,707,56,Suppressed,30.45,35.9,Suppressed,Brown
22,c,18015,Hispanic or Latino,118,34,0,2.88,9.19,0.0,Carroll
23,c,18015,Not Hispanic or Latino,2447,182,5,59.73,49.19,38.46,Carroll
24,c,18015,Unknown,1532,154,8,37.39,41.62,61.54,Carroll
25,c,18017,Hispanic or Latino,1646,970,3,14.5,40.86,11.54,Cass
26,c,18017,Not Hispanic or Latino,4413,709,6,38.87,29.87,23.08,Cass
27,c,18017,Unknown,5294,695,17,46.63,29.28,65.38,Cass
28,c,18019,Hispanic or Latino,1154,277,2,3.98,8.59,2.99,Clark
29,c,18019,Not Hispanic or Latino,13559,1599,42,46.76,49.6,62.69,Clark
30,c,18019,Unknown,14285,1348,23,49.26,41.81,34.33,Clark
31,c,18021,Hispanic or Latino,20,1,Suppressed,0.36,0.19,Suppressed,Clay
32,c,18021,Not Hispanic or Latino,2107,234,Suppressed,37.96,45.61,Suppressed,Clay
33,c,18021,Unknown,3424,278,Suppressed,61.68,54.19,Suppressed,Clay
34,c,18023,Hispanic or Latino,1575,304,0,15.3,30.16,0.0,Clinton
35,c,18023,Not Hispanic or Latino,6554,543,16,63.69,53.87,100.0,Clinton
36,c,18023,Unknown,2162,161,0,21.01,15.97,0.0,Clinton
37,c,18025,Hispanic or Latino,15,2,Suppressed,0.68,1.14,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,1360,111,Suppressed,61.23,63.43,Suppressed,Crawford
39,c,18025,Unknown,846,62,Suppressed,38.09,35.43,Suppressed,Crawford
40,c,18027,Hispanic or Latino,64,22,0,1.0,2.26,0.0,Daviess
41,c,18027,Not Hispanic or Latino,1242,242,13,19.42,24.87,36.11,Daviess
42,c,18027,Unknown,5089,709,23,79.58,72.87,63.89,Daviess
43,c,18029,Hispanic or Latino,91,8,0,0.83,0.72,0.0,Dearborn
44,c,18029,Not Hispanic or Latino,5265,605,20,47.85,54.5,71.43,Dearborn
45,c,18029,Unknown,5648,497,8,51.33,44.77,28.57,Dearborn
46,c,18031,Hispanic or Latino,56,7,0,0.95,1.2,0.0,Decatur
47,c,18031,Not Hispanic or Latino,3987,373,23,67.9,63.98,58.97,Decatur
48,c,18031,Unknown,1829,203,16,31.15,34.82,41.03,Decatur
49,c,18033,Hispanic or Latino,183,22,0,2.35,2.54,0.0,De Kalb
50,c,18033,Not Hispanic or Latino,6026,679,8,77.42,78.32,61.54,De Kalb
51,c,18033,Unknown,1575,166,5,20.23,19.15,38.46,De Kalb
52,c,18035,Hispanic or Latino,340,39,0,1.22,1.17,0.0,Delaware
53,c,18035,Not Hispanic or Latino,17383,1964,59,62.42,59.16,72.84,Delaware
54,c,18035,Unknown,10125,1317,22,36.36,39.67,27.16,Delaware
55,c,18037,Hispanic or Latino,909,282,3,9.05,17.76,11.11,Dubois
56,c,18037,Not Hispanic or Latino,5595,1029,9,55.68,64.8,33.33,Dubois
57,c,18037,Unknown,3545,277,15,35.28,17.44,55.56,Dubois
58,c,18039,Hispanic or Latino,5515,1898,13,8.86,19.05,8.78,Elkhart
59,c,18039,Not Hispanic or Latino,16846,2547,60,27.07,25.56,40.54,Elkhart
60,c,18039,Unknown,39871,5519,75,64.07,55.39,50.68,Elkhart
61,c,18041,Hispanic or Latino,24,4,0,0.4,0.46,0.0,Fayette
62,c,18041,Not Hispanic or Latino,2920,537,11,48.89,61.37,50.0,Fayette
63,c,18041,Unknown,3029,334,11,50.71,38.17,50.0,Fayette
64,c,18043,Hispanic or Latino,323,60,0,1.71,3.06,0.0,Floyd
65,c,18043,Not Hispanic or Latino,8928,974,41,47.3,49.64,59.42,Floyd
66,c,18043,Unknown,9626,928,28,50.99,47.3,40.58,Floyd
67,c,18045,Hispanic or Latino,40,5,Suppressed,1.08,1.38,Suppressed,Fountain
68,c,18045,Not Hispanic or Latino,1879,183,Suppressed,50.81,50.55,Suppressed,Fountain
