_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,92,11,Suppressed,4.16,9.17,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,1618,63,Suppressed,73.18,52.5,Suppressed,Adams
3,c,18001,Unknown,501,46,Suppressed,22.66,38.33,Suppressed,Adams
4,c,18003,Hispanic or Latino,1530,358,6,3.67,8.73,3.66,Allen
5,c,18003,Not Hispanic or Latino,19718,1927,91,47.28,46.97,55.49,Allen
6,c,18003,Unknown,20460,1818,67,49.06,44.31,40.85,Allen
7,c,18005,Hispanic or Latino,241,66,0,2.13,7.82,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,3160,257,14,27.95,30.45,29.79,Bartholomew
9,c,18005,Unknown,7904,521,33,69.92,61.73,70.21,Bartholomew
10,c,18007,Hispanic or Latino,64,33,Suppressed,6.32,52.38,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,674,21,Suppressed,66.54,33.33,Suppressed,Benton
12,c,18007,Unknown,275,9,Suppressed,27.15,14.29,Suppressed,Benton
13,c,18009,Hispanic or Latino,9,1,Suppressed,0.67,1.52,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,1008,40,Suppressed,75.28,60.61,Suppressed,Blackford
15,c,18009,Unknown,322,25,Suppressed,24.05,37.88,Suppressed,Blackford
16,c,18011,Hispanic or Latino,99,16,0,1.08,2.27,0.0,Boone
17,c,18011,Not Hispanic or Latino,3563,224,16,38.82,31.82,34.78,Boone
18,c,18011,Unknown,5516,464,30,60.1,65.91,65.22,Boone
19,c,18013,Hispanic or Latino,21,0,Suppressed,1.41,0.0,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1029,45,Suppressed,69.11,60.0,Suppressed,Brown
21,c,18013,Unknown,439,30,Suppressed,29.48,40.0,Suppressed,Brown
22,c,18015,Hispanic or Latino,85,28,Suppressed,3.49,13.79,Suppressed,Carroll
23,c,18015,Not Hispanic or Latino,1422,85,Suppressed,58.33,41.87,Suppressed,Carroll
24,c,18015,Unknown,931,90,Suppressed,38.19,44.33,Suppressed,Carroll
25,c,18017,Hispanic or Latino,1409,941,Suppressed,19.4,52.02,Suppressed,Cass
26,c,18017,Not Hispanic or Latino,2429,462,Suppressed,33.44,25.54,Suppressed,Cass
27,c,18017,Unknown,3425,406,Suppressed,47.16,22.44,Suppressed,Cass
28,c,18019,Hispanic or Latino,576,121,2,3.92,9.08,4.0,Clark
29,c,18019,Not Hispanic or Latino,6904,659,34,47.0,49.44,68.0,Clark
30,c,18019,Unknown,7210,553,14,49.08,41.49,28.0,Clark
31,c,18021,Hispanic or Latino,9,0,Suppressed,0.33,0.0,Suppressed,Clay
32,c,18021,Not Hispanic or Latino,995,67,Suppressed,36.09,47.52,Suppressed,Clay
33,c,18021,Unknown,1753,74,Suppressed,63.58,52.48,Suppressed,Clay
