_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,29785,7697,60,3.46,10.15,2.1
2,Not Hispanic or Latino,347707,26807,1481,40.35,35.34,51.73
3,Unknown,484163,41358,1322,56.19,54.52,46.18
