_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,57300,13036,99,3.52,8.02,2.54
2,Not Hispanic or Latino,686055,65036,1946,42.1,40.0,49.97
3,Unknown,886113,84535,1849,54.38,51.99,47.48
