_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,54270,12130,97,3.49,8.22,2.62
2,Not Hispanic or Latino,649388,57679,1851,41.75,39.08,49.97
3,Unknown,851779,77773,1756,54.76,52.7,47.41
