_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,41894,9368,70,3.47,8.96,2.18
2,Not Hispanic or Latino,498871,38665,1647,41.33,36.98,51.26
3,Unknown,666215,56528,1496,55.2,54.06,46.56
