_id,ETHNICITY,COVID_COUNT,COVID_DEATHS,COVID_TEST,COVID_COUNT_PCT,COVID_DEATHS_PCT,COVID_TEST_PCT
1,Hispanic or Latino,4667,43,12193,11.6899999999999995026200849679298698902130126953125,1.9199999999999999289457264239899814128875732421875,3.5
2,Not Hispanic or Latino,13385,1217,122588,33.53999999999999914734871708787977695465087890625,54.3299999999999982946974341757595539093017578125,35.18999999999999772626324556767940521240234375
3,Unknown,21857,980,213610,54.77000000000000312638803734444081783294677734375,43.75,61.31000000000000227373675443232059478759765625
