_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,56276,12762,98,3.5,8.09,2.54
2,Not Hispanic or Latino,673697,62601,1927,41.96,39.69,49.95
3,Unknown,875623,82350,1833,54.54,52.22,47.51
