_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,30371,7796,61,3.46,10.05,2.1
2,Not Hispanic or Latino,355203,27535,1504,40.46,35.5,51.9
3,Unknown,492396,42234,1333,56.08,54.45,46.0
