_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,46799,10264,78,3.43,8.67,2.32
2,Not Hispanic or Latino,557101,43869,1703,40.77,37.08,50.61
3,Unknown,762394,64189,1584,55.8,54.25,47.07
