_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,42505,9456,70,3.41,8.88,2.18
2,Not Hispanic or Latino,506501,39219,1646,40.61,36.81,51.2
3,Unknown,698287,57865,1499,55.98,54.31,46.63
