_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,65772,16117,113,3.61,7.51,2.56
2,Not Hispanic or Latino,791686,92754,2243,43.43,43.24,50.77
3,Unknown,965571,105638,2062,52.97,49.25,46.67
