_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,75053,20261,124,3.7,7.18,2.5
2,Not Hispanic or Latino,904604,129739,2540,44.54,45.96,51.29
3,Unknown,1051281,132311,2288,51.76,46.87,46.2
