_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,47246,10359,79,3.42,8.63,2.32
2,Not Hispanic or Latino,563411,44621,1720,40.83,37.18,50.51
3,Unknown,769193,65039,1606,55.74,54.19,47.17
