_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,35360,8463,64,3.53,9.66,2.13
2,Not Hispanic or Latino,416398,31793,1549,41.56,36.3,51.5
3,Unknown,550280,47336,1395,54.92,54.04,46.38
