_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,29946,7747,61,3.45,10.12,2.12
2,Not Hispanic or Latino,349415,27027,1489,40.3,35.32,51.74
3,Unknown,487633,41748,1328,56.24,54.56,46.14
