_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,43684,9702,73,3.41,8.85,2.23
2,Not Hispanic or Latino,519994,40467,1666,40.58,36.89,50.95
3,Unknown,717760,59514,1531,56.01,54.26,46.82
