_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,43077,9609,72,3.39,8.84,2.21
2,Not Hispanic or Latino,514818,39999,1663,40.55,36.82,51.12
3,Unknown,711755,59038,1518,56.06,54.34,46.66
