_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,42896,9550,72,3.4,8.86,2.22
2,Not Hispanic or Latino,511207,39657,1660,40.51,36.78,51.12
3,Unknown,707789,58602,1515,56.09,54.36,46.66
