_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,39136,8939,68,3.55,9.23,2.19
2,Not Hispanic or Latino,463665,35587,1598,42.04,36.74,51.38
3,Unknown,600237,52328,1444,54.42,54.03,46.43
