_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,36747,8693,66,3.52,9.52,2.16
2,Not Hispanic or Latino,432065,33168,1574,41.38,36.32,51.47
3,Unknown,575237,49452,1418,55.1,54.16,46.37
