_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,60093,13984,104,3.54,7.8,2.54
2,Not Hispanic or Latino,722446,73831,2060,42.52,41.16,50.29
3,Unknown,916469,91543,1932,53.94,51.04,47.17
