_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,40381,9114,68,3.55,9.13,2.17
2,Not Hispanic or Latino,479834,36827,1608,42.13,36.9,51.21
3,Unknown,618653,53863,1464,54.32,53.97,46.62
