_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,64272,15542,111,3.58,7.55,2.55
2,Not Hispanic or Latino,776369,88161,2205,43.27,42.85,50.71
3,Unknown,953757,102019,2032,53.15,49.59,46.73
