_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,64970,15788,113,3.59,7.5,2.58
2,Not Hispanic or Latino,784636,90450,2224,43.35,42.99,50.74
3,Unknown,960334,104136,2046,53.06,49.5,46.68
