_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,41265,9243,70,3.54,9.04,2.2
2,Not Hispanic or Latino,490614,37825,1633,42.14,37.0,51.26
3,Unknown,632262,55175,1483,54.31,53.96,46.55
