_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,34030,8386,64,3.48,9.76,2.13
2,Not Hispanic or Latino,400497,31062,1546,40.96,36.15,51.48
3,Unknown,543275,46484,1393,55.56,54.09,46.39
