_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,52252,11536,87,3.47,8.35,2.42
2,Not Hispanic or Latino,623362,52985,1804,41.45,38.37,50.18
3,Unknown,828309,73583,1704,55.08,53.28,47.4
