_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,60601,14142,104,3.54,7.77,2.52
2,Not Hispanic or Latino,728411,75218,2079,42.6,41.3,50.41
3,Unknown,920932,92748,1941,53.86,50.93,47.07
