_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,72107,18975,120,3.66,7.24,2.52
2,Not Hispanic or Latino,868672,118601,2437,44.12,45.23,51.09
3,Unknown,1028309,124631,2213,52.22,47.53,46.39
