_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,33310,8281,63,3.48,9.82,2.11
2,Not Hispanic or Latino,391393,30375,1542,40.84,36.02,51.54
3,Unknown,533729,45661,1387,55.69,54.15,46.36
