_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,38279,8833,66,3.55,9.38,2.14
2,Not Hispanic or Latino,452744,34452,1584,42.04,36.57,51.48
3,Unknown,585924,50911,1427,54.41,54.05,46.38
