_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,73128,19375,120,3.68,7.22,2.48
2,Not Hispanic or Latino,881686,122239,2474,44.32,45.57,51.22
3,Unknown,1034642,126608,2236,52.01,47.2,46.29
