_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,44738,9860,74,3.42,8.8,2.25
2,Not Hispanic or Latino,532407,41413,1672,40.68,36.97,50.87
3,Unknown,731500,60754,1541,55.9,54.23,46.88
