_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,42709,9502,71,3.4,8.86,2.19
2,Not Hispanic or Latino,508438,39430,1656,40.52,36.77,51.19
3,Unknown,703584,58297,1508,56.07,54.37,46.62
