_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,68695,17397,114,3.63,7.35,2.47
2,Not Hispanic or Latino,827882,104886,2346,43.73,44.34,50.86
3,Unknown,996493,114282,2153,52.64,48.31,46.67
