_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,41501,9289,70,3.51,8.97,2.19
2,Not Hispanic or Latino,494433,38246,1639,41.79,36.95,51.28
3,Unknown,647170,55970,1487,54.7,54.07,46.53
