_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,59518,13808,103,3.53,7.85,2.54
2,Not Hispanic or Latino,715109,72172,2032,42.45,41.03,50.17
3,Unknown,910156,89913,1915,54.02,51.12,47.28
