_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,78368,21630,129,3.72,7.06,2.5
2,Not Hispanic or Latino,946353,142718,2664,44.9,46.56,51.54
3,Unknown,1083023,142190,2376,51.38,46.39,45.97
