_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,61765,14581,106,3.56,7.75,2.52
2,Not Hispanic or Latino,741133,78467,2121,42.75,41.72,50.51
3,Unknown,930677,95018,1972,53.69,50.52,46.96
