_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,38705,8892,68,3.54,9.29,2.19
2,Not Hispanic or Latino,458591,35076,1596,41.97,36.63,51.38
3,Unknown,595300,51782,1442,54.48,54.08,46.43
