_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,69663,17822,114,3.63,7.28,2.46
2,Not Hispanic or Latino,840949,109164,2362,43.85,44.58,50.93
3,Unknown,1007339,117901,2162,52.52,48.15,46.61
