_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,40827,9167,68,3.55,9.1,2.15
2,Not Hispanic or Latino,484916,37228,1619,42.13,36.94,51.3
3,Unknown,625120,54385,1469,54.32,53.96,46.55
