_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,30950,7966,61,3.45,10.0,2.09
2,Not Hispanic or Latino,364875,28468,1511,40.65,35.73,51.73
3,Unknown,501790,43242,1349,55.9,54.27,46.18
