_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,67132,16655,114,3.62,7.42,2.53
2,Not Hispanic or Latino,808954,98413,2287,43.64,43.86,50.69
3,Unknown,977614,109306,2111,52.74,48.72,46.79
