_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,22067,6400,53,3.4199999999999999289457264239899814128875732421875,11.050000000000000710542735760100185871124267578125,2
2,Not Hispanic or Latino,252350,19695,1392,39.1400000000000005684341886080801486968994140625,34.00999999999999801048033987171947956085205078125,52.49000000000000198951966012828052043914794921875
3,Unknown,370388,31821,1207,57.43999999999999772626324556767940521240234375,54.93999999999999772626324556767940521240234375,45.50999999999999801048033987171947956085205078125
