_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,51913,11421,86,3.47,8.36,2.41
2,Not Hispanic or Latino,619650,52235,1788,41.42,38.25,50.11
3,Unknown,824289,72899,1694,55.1,53.38,47.48
