_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,37640,8801,66,3.53,9.43,2.15
2,Not Hispanic or Latino,443288,34084,1580,41.61,36.53,51.43
3,Unknown,584428,50428,1426,54.86,54.04,46.42
