_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,31357,8033,61,3.46,9.99,2.09
2,Not Hispanic or Latino,369910,28783,1512,40.79,35.79,51.71
3,Unknown,505584,43599,1351,55.75,54.22,46.2
