_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,52873,11692,91,3.48,8.28,2.51
2,Not Hispanic or Latino,632198,54541,1822,41.55,38.62,50.17
3,Unknown,836331,74979,1719,54.97,53.1,47.33
