_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,40676,9150,68,3.55,9.11,2.16
2,Not Hispanic or Latino,483381,37080,1611,42.16,36.93,51.24
3,Unknown,622515,54164,1465,54.29,53.95,46.6
