_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,49085,10742,81,3.44,8.53,2.35
2,Not Hispanic or Latino,584789,47021,1736,41.03,37.33,50.26
3,Unknown,791301,68213,1637,55.52,54.15,47.39
