_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,35890,8558,65,3.51,9.58,2.14
2,Not Hispanic or Latino,422381,32333,1564,41.31,36.18,51.43
3,Unknown,564266,48468,1412,55.18,54.24,46.43
