_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,38465,8856,67,3.55,9.33,2.17
2,Not Hispanic or Latino,454852,34690,1593,41.97,36.56,51.5
3,Unknown,590448,51345,1433,54.48,54.11,46.33
