_id,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS,COVID_TEST_PCT,COVID_COUNT_PCT,COVID_DEATHS_PCT
1,Hispanic or Latino,44890,9892,75,3.41,8.78,2.28
2,Not Hispanic or Latino,534600,41605,1674,40.64,36.94,50.8
3,Unknown,735950,61129,1546,55.95,54.28,46.92
